Symbol,tDate,Price
ORLY,2024-02-27,1081.75
ORLY,2024-02-28,1092.96
ORLY,2024-02-29,1087.42
PH,2024-02-20,519.53
PH,2024-02-21,523.71
PH,2024-02-22,530.0
PH,2024-02-23,531.07
PH,2024-02-26,530.81
PH,2024-02-27,531.49
PH,2024-02-28,531.1
PH,2024-02-29,535.45
REGN,2024-02-20,946.87
REGN,2024-02-21,952.84
REGN,2024-02-22,964.89
REGN,2024-02-23,981.2
REGN,2024-02-26,989.28
REGN,2024-02-27,993.35
REGN,2024-02-28,987.61
REGN,2024-02-29,966.09
ROP,2024-02-20,544.11
ROP,2024-02-21,549.02
ROP,2024-02-22,555.31
ROP,2024-02-23,556.87
ROP,2024-02-26,547.91
ROP,2024-02-27,547.1
ROP,2024-02-28,543.45
ROP,2024-02-29,544.73
SNPS,2024-02-20,547.98
SNPS,2024-02-21,543.57
SNPS,2024-02-22,580.9
SNPS,2024-02-23,575.65
SNPS,2024-02-26,575.7
SNPS,2024-02-27,574.0
SNPS,2024-02-28,570.28
SNPS,2024-02-29,573.73
SPGI,2024-02-20,425.125
SPGI,2024-02-21,423.449
SPGI,2024-02-22,434.316
SPGI,2024-02-23,437.36
SPGI,2024-02-26,433.41
SPGI,2024-02-27,427.84
SPGI,2024-02-28,429.39
SPGI,2024-02-29,428.38
TDG,2024-02-20,1159.01
TDG,2024-02-21,1164.35
TDG,2024-02-22,1192.95
TDG,2024-02-23,1199.89
TDG,2024-02-26,1187.4
TDG,2024-02-27,1174.22
TDG,2024-02-28,1172.0
TDG,2024-02-29,1177.74
TDY,2024-02-20,430.76
TDY,2024-02-21,426.48
TDY,2024-02-22,430.94
TDY,2024-02-23,432.87
TDY,2024-02-26,426.23
TDY,2024-02-27,424.9
TDY,2024-02-28,425.43
TDY,2024-02-29,427.27
TMO,2024-02-20,548.14
TMO,2024-02-21,552.85
TMO,2024-02-22,560.49
TMO,2024-02-23,564.71
TMO,2024-02-26,563.48
TMO,2024-02-27,566.17
TMO,2024-02-28,572.03
TMO,2024-02-29,570.18
TYL,2024-02-20,435.38
TYL,2024-02-21,432.71
TYL,2024-02-22,436.6
TYL,2024-02-23,437.48
TYL,2024-02-26,441.19
TYL,2024-02-27,436.39
TYL,2024-02-28,438.71
TYL,2024-02-29,437.14
ULTA,2024-02-20,541.29
ULTA,2024-02-21,538.79
ULTA,2024-02-22,544.06
ULTA,2024-02-23,549.78
ULTA,2024-02-26,556.32
ULTA,2024-02-27,561.41
ULTA,2024-02-28,559.16
ULTA,2024-02-29,548.56
UNH,2024-02-20,521.06
UNH,2024-02-21,521.97
UNH,2024-02-22,526.5
UNH,2024-02-23,527.24
UNH,2024-02-26,525.32
UNH,2024-02-27,513.42
UNH,2024-02-28,498.28
UNH,2024-02-29,493.6
URI,2024-02-20,643.91
URI,2024-02-21,644.89
URI,2024-02-22,658.8
URI,2024-02-23,658.23
URI,2024-02-26,670.79
URI,2024-02-27,676.48
URI,2024-02-28,686.19
URI,2024-02-29,693.27
VRTX,2024-02-20,420.64
VRTX,2024-02-21,419.63
VRTX,2024-02-22,426.78
VRTX,2024-02-23,430.11
VRTX,2024-02-26,433.48
VRTX,2024-02-27,430.92
VRTX,2024-02-28,426.97
VRTX,2024-02-29,420.74
